date,total_cases,new_cases,weekly_new_cases_average,new_cases_yesterday,new_deaths,weeky_new_deaths_average,new_deaths_yesterday,new_tests,weekly_new_tests_average,new_tests_yesterday,positive_rate,total_vaccinations,total_vaccinations_yesterday,people_vaccinated,people_vaccinated_yesterday,people_fully_vaccinated,people_fully_vaccinated_yesterday,population_not_staying_at_home,population_not_staying_at_home_previous_week_average,stringency_index,apple_driving,apple_transit,apple_walking,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-10-15,7990636,64888,52813,59765,849,752,990,1294966,1110213,1227460,0.05,0,0,0,0,0,0,243320467,241632786,66.2,156,60,153,-15,-5,23,-30,-31,9
2020-10-16,8059782,69146,53712,64888,937,732,849,1324082,1091126,1294966,0.051,0,0,0,0,0,0,248025143,241324402,66.2,149,54,154,-17,-8,8,-30,-31,9
2020-10-17,8116518,56736,55535,69146,762,728,937,1109316,1080698,1324082,0.052,0,0,0,0,0,0,241512986,240960304,66.2,121,51,117,-14,-3,41,-20,-11,3
2020-10-18,8165858,49340,55795,56736,493,743,762,765490,1082027,1109316,0.052,0,0,0,0,0,0,237908466,240964152,66.2,126,54,120,-16,-7,18,-23,-14,3
2020-10-19,8233610,67752,56281,49340,479,746,493,869145,1084853,765490,0.053,0,0,0,0,0,0,244266877,241573668,66.2,129,55,124,-18,-9,4,-33,-31,9
2020-10-20,8295581,61971,59982,67752,923,758,479,1268147,1093260,869145,0.053,0,0,0,0,0,0,242883809,241724381,66.2,131,55,124,-17,-7,10,-32,-31,9
2020-10-21,8358864,63283,61371,61971,1121,776,923,1469391,1122658,1268147,0.052,0,0,0,0,0,0,241235164,241873971,66.2,141,57,131,-16,-7,13,-32,-30,9
2020-10-22,8435164,76300,61874,63283,915,795,1121,1527623,1157220,1469391,0.052,0,0,0,0,0,0,245137226,241707402,66.2,171,64,161,-16,-6,20,-31,-30,9
2020-10-23,8517113,81949,63504,76300,967,804,915,1460176,1190456,1527623,0.053,0,0,0,0,0,0,248887208,242322700,66.2,160,61,171,-17,-8,10,-30,-30,9
2020-10-24,8599842,82729,65333,81949,951,809,967,1176157,1209898,1460176,0.056,0,0,0,0,0,0,243207459,242882553,66.2,132,52,136,-16,-4,28,-23,-10,3
2020-10-25,8661982,62140,69046,82729,462,836,951,790535,1219447,1176157,0.057,0,0,0,0,0,0,239792068,243148506,66.2,125,53,113,-18,-8,1,-27,-15,4
2020-10-26,8729385,67403,70875,62140,533,831,462,950426,1223025,790535,0.058,0,0,0,0,0,0,242550521,243701738,62.5,128,55,117,-19,-9,-9,-34,-31,10
2020-10-27,8806228,76843,70825,67403,973,839,533,1334042,1234636,950426,0.059,0,0,0,0,0,0,243123623,243503792,62.5,128,54,117,-17,-7,1,-33,-31,10
2020-10-28,8885632,79404,72950,76843,1035,846,973,1490289,1244050,1334042,0.061,0,0,0,0,0,0,244956178,242736130,62.5,133,53,120,-16,-7,-2,-34,-30,10
2020-10-29,8976684,91052,75253,79404,1004,834,1035,1472791,1247035,1490289,0.063,0,0,0,0,0,0,243715099,242995667,62.5,156,61,149,-17,-7,-6,-35,-31,10
2020-10-30,9075924,99240,77360,91052,1061,846,1004,1503987,1239202,1472791,0.065,0,0,0,0,0,0,243953723,243118819,62.5,154,59,158,-14,-4,1,-32,-30,8
2020-10-31,9165619,89695,79830,99240,910,860,1061,1217521,1245461,1503987,0.065,0,0,0,0,0,0,237313198,243360887,62.5,116,49,109,-16,2,27,-23,-10,3
2020-11-01,9270467,104848,80825,89695,496,854,910,894805,1251370,1217521,0.066,0,0,0,0,0,0,231334093,243629973,62.5,125,54,115,-18,-9,-5,-29,-15,4
2020-11-02,9355775,85308,86926,104848,572,859,496,1014345,1266266,894805,0.068,0,0,0,0,0,0,234218861,243384779,62.5,127,54,118,-17,-7,-6,-35,-31,9
2020-11-03,9482891,127116,89484,85308,1578,864,572,1361440,1275397,1014345,0.07,0,0,0,0,0,0,241359609,243419038,62.5,129,56,121,-11,-2,14,-34,-33,9
2020-11-04,9587499,104608,96666,127116,1115,951,1578,1624074,1279311,1361440,0.072,0,0,0,0,0,0,238796491,243950612,62.5,134,59,125,-18,-10,4,-36,-30,10
2020-11-05,9716853,129354,100267,104608,1155,962,1115,1686108,1298423,1624074,0.073,0,0,0,0,0,0,234426839,243747451,62.5,159,64,154,-18,-8,7,-34,-30,10
2020-11-06,9844858,128005,105738,129354,1239,984,1155,1666431,1328897,1686108,0.076,0,0,0,0,0,0,233975259,243042667,62.5,158,64,167,-18,-10,6,-33,-29,9
2020-11-07,9972308,127450,109848,128005,1081,1009,1239,1447567,1352103,1666431,0.075,0,0,0,0,0,0,230026054,242200630,62.5,118,53,113,-16,-6,23,-27,-10,4
2020-11-08,10087380,115072,115241,127450,571,1034,1081,1003362,1384967,1447567,0.077,0,0,0,0,0,0,219752445,240992348,62.5,120,56,112,-17,-9,13,-29,-14,4
2020-11-09,10207953,120573,116702,115072,779,1044,571,1217746,1400475,1003362,0.079,0,0,0,0,0,0,231497493,239802111,65.28,121,56,115,-19,-9,-3,-36,-31,10
2020-11-10,10348449,140496,121740,120573,1418,1074,779,1530401,1429533,1217746,0.083,0,0,0,0,0,0,235673099,239550109,65.28,124,57,118,-18,-7,-2,-35,-31,10
2020-11-11,10495075,146626,123651,140496,1436,1051,1418,1772083,1453670,1530401,0.086,0,0,0,0,0,0,234196077,238670153,65.28,129,57,122,-15,-8,-10,-39,-38,12
2020-11-12,10659914,164839,129654,146626,1204,1097,1436,1839676,1474814,1772083,0.088,0,0,0,0,0,0,234673465,237343259,65.28,155,65,152,-20,-9,-12,-37,-32,11
2020-11-13,10840303,180389,134723,164839,1200,1104,1204,1894397,1496752,1839676,0.09,0,0,0,0,0,0,236432175,235917764,65.28,153,64,167,-19,-9,-11,-35,-30,11
2020-11-14,11008064,167761,142206,180389,1347,1098,1200,1593830,1529319,1894397,0.095,0,0,0,0,0,0,230885036,234876744,65.28,116,52,111,-18,-6,2,-29,-10,5
2020-11-15,11144288,136224,147965,167761,776,1136,1347,1194391,1550214,1593830,0.097,0,0,0,0,0,0,230484115,233222223,65.28,118,56,110,-19,-9,-8,-32,-15,5
2020-11-16,11307233,162945,150987,136224,829,1166,776,1483767,1577503,1194391,0.097,0,0,0,0,0,0,229736735,232833456,75.46,118,53,109,-20,-8,-10,-37,-31,10
2020-11-17,11471155,163922,157040,162945,1721,1173,829,1894925,1615506,1483767,0.096,0,0,0,0,0,0,229593933,232021097,75.46,122,55,113,-20,-7,-12,-37,-32,11
2020-11-18,11644332,173177,160387,163922,1918,1216,1721,2091305,1667581,1894925,0.095,0,0,0,0,0,0,231213299,231363895,75.46,128,57,119,-19,-7,-13,-37,-32,11
2020-11-19,11835880,191548,164180,173177,2052,1285,1918,2069754,1713184,2091305,0.095,0,0,0,0,0,0,233698645,231399127,75.46,150,62,146,-19,-6,-6,-36,-31,11
2020-11-20,12034177,198297,167995,191548,1957,1406,2052,2140308,1746053,2069754,0.095,0,0,0,0,0,0,235098657,231750115,75.46,150,62,160,-20,-8,-5,-33,-30,11
2020-11-21,12213451,179274,170553,198297,1619,1514,1957,1847918,1781183,2140308,0.094,0,0,0,0,0,0,229838115,231872827,75.46,112,51,107,-20,-4,4,-26,-10,5
2020-11-22,12360235,146784,172198,179274,1032,1553,1619,1418307,1817481,1847918,0.093,0,0,0,0,0,0,228522753,233405923,75.46,117,55,108,-20,-7,-13,-32,-14,5
2020-11-23,12534684,174449,173707,146784,1100,1590,1032,1671192,1849469,1418307,0.092,0,0,0,0,0,0,232290987,233154386,75.46,119,55,111,-16,-2,-12,-37,-35,11
2020-11-24,12710198,175514,175350,174449,2129,1628,1100,1953762,1876244,1671192,0.093,0,0,0,0,0,0,233635402,232285934,75.46,122,55,113,-12,6,-9,-33,-36,11
2020-11-25,12893485,183287,177006,175514,2263,1687,2129,2210734,1884649,1953762,0.093,0,0,0,0,0,0,236451913,231859823,75.46,129,57,119,-3,23,-7,-30,-40,10
2020-11-26,13005807,112322,178450,183287,1385,1736,2263,1503995,1901711,2210734,0.095,0,0,0,0,0,0,227210826,231720563,75.46,153,64,149,-70,-30,-13,-60,-81,23
2020-11-27,13213995,208188,167132,112322,1549,1641,1385,1503181,1820888,1503995,0.097,0,0,0,0,0,0,232601389,231530060,75.46,151,64,163,-26,-20,2,-47,-60,19
2020-11-28,13369528,155533,168545,208188,1360,1582,1549,1338407,1729870,1503181,0.099,0,0,0,0,0,0,230749160,231380500,75.46,114,51,111,-26,-15,-1,-32,-18,7
2020-11-29,13509762,140234,165154,155533,1036,1545,1360,1147560,1657083,1338407,0.1,0,0,0,0,0,0,228771727,231100305,75.46,117,52,106,-23,-15,-12,-28,-16,6
2020-11-30,13670332,160570,164218,140234,1346,1546,1036,1466237,1618404,1147560,0.102,0,0,0,0,0,0,230759639,231465198,75.46,117,53,109,-21,-12,-27,-39,-34,12
2020-12-01,13858551,188219,162235,160570,2544,1581,1346,1839018,1589125,1466237,0.104,0,0,0,0,0,0,238272498,232042551,75.46,122,56,114,-18,-5,-18,-36,-33,11
2020-12-02,14061108,202557,164050,188219,2812,1640,2544,2089909,1572733,1839018,0.107,0,0,0,0,0,0,239714506,232790925,71.76,128,57,120,-19,-8,-16,-38,-32,11
2020-12-03,14284721,223613,166803,202557,2953,1719,2812,2160683,1555472,2089909,0.107,0,0,0,0,0,0,239829275,231864093,71.76,150,59,143,-18,-5,-13,-37,-32,11
2020-12-04,14517506,232785,182702,223613,2699,1943,2953,2118444,1649285,2160683,0.106,0,0,0,0,0,0,241214797,231507341,71.76,152,63,164,-20,-9,-17,-38,-30,12
2020-12-05,14733048,215542,186216,232785,2353,2107,2699,1684680,1737180,2118444,0.108,0,0,0,0,0,0,236196083,231637490,71.76,113,51,107,-20,-6,-9,-33,-9,6
2020-12-06,14914060,181012,194789,215542,1346,2249,2353,1291401,1786647,1684680,0.11,0,0,0,0,0,0,231926549,231673058,71.76,114,54,105,-20,-9,-14,-35,-14,5
2020-12-07,15108918,194858,200614,181012,1604,2293,1346,1540603,1807196,1291401,0.112,0,0,0,0,0,0,232974648,231454294,71.76,116,54,108,-21,-9,-22,-40,-33,11
2020-12-08,15333410,224492,205512,194858,2619,2330,1604,1909271,1817820,1540603,0.114,0,0,0,0,0,0,236474723,232116736,71.76,119,54,111,-20,-8,-18,-40,-32,11
2020-12-09,15555949,222539,210694,224492,3182,2341,2619,2115759,1827856,1909271,0.115,0,0,0,0,0,0,237480966,232582821,71.76,125,56,117,-19,-8,-12,-39,-32,11
2020-12-10,15787464,231515,213549,222539,2995,2394,3182,2173141,1831549,2115759,0.114,0,0,0,0,0,0,237360043,234385456,71.76,148,63,144,-19,-6,-9,-38,-32,11
2020-12-11,16027441,239977,214678,231515,3417,2400,2995,2048369,1833328,2173141,0.117,0,0,0,0,0,0,234841628,235615943,71.76,147,62,157,-21,-9,-16,-38,-31,12
2020-12-12,16245026,217585,215705,239977,2459,2502,3417,1717811,1823318,2048369,0.117,0,0,0,0,0,0,230987956,236394075,71.76,106,48,99,-20,-5,-11,-32,-10,6
2020-12-13,16432729,187703,215997,217585,1626,2517,2459,1242647,1828051,1717811,0.118,0,0,0,0,0,0,227892376,236844764,71.76,111,52,101,-21,-8,-16,-35,-15,6
2020-12-14,16627550,194821,216953,187703,1650,2557,1626,1506096,1821086,1242647,0.119,0,0,0,0,0,0,234121604,237161194,71.76,114,53,105,-20,-8,-28,-41,-33,11
2020-12-15,16836556,209006,216947,194821,3117,2564,1650,1940538,1816156,1506096,0.116,0,0,0,0,0,0,236908023,236904369,71.76,114,52,106,-17,-2,-21,-38,-33,11
2020-12-16,17083256,246700,214735,209006,3664,2635,3117,2065357,1820623,1940538,0.119,0,0,0,0,0,0,233885992,236585292,71.76,121,52,111,-20,-6,-27,-41,-34,13
2020-12-17,17322981,239725,218187,246700,3499,2704,3664,2039321,1813423,2065357,0.123,0,0,0,0,0,0,234537653,236232544,71.76,146,59,143,-22,-9,-24,-43,-37,14
2020-12-18,17574950,251969,219360,239725,2965,2776,3499,2010455,1794306,2039321,0.122,0,0,0,0,0,0,233920183,235322091,71.76,138,59,165,-19,-7,-22,-36,-32,12
2020-12-19,17766856,191906,221073,251969,2653,2711,2965,1697077,1788889,2010455,0.121,0,0,0,0,0,0,229323407,234578073,71.76,98,45,95,-18,-2,-16,-25,-10,6
2020-12-20,17954675,187819,217404,191906,1714,2739,2653,1269622,1785927,1697077,0.122,556208,0,556208,0,0,0,226723049,234001763,71.76,108,52,102,-17,-4,-19,-29,-13,5
2020-12-21,18153724,199049,217421,187819,1916,2752,1714,1519334,1789781,1269622,0.121,614117,556208,614117,556208,0,0,229767474,234165614,71.76,110,49,110,-8,3,-9,-35,-37,10
2020-12-22,18351735,198011,218025,199049,3399,2790,1916,1983022,1791672,1519334,0.12,614118,614117,614118,614117,0,0,227647011,234227514,71.76,103,48,98,-5,10,-6,-33,-38,10
2020-12-23,18581353,229618,216454,198011,3424,2830,3399,2260088,1797741,1983022,0.118,1008025,614118,1008025,614118,0,0,226378635,233713946,71.76,110,52,106,2,24,-8,-30,-40,10
2020-12-24,18775557,194204,214014,229618,2906,2796,3424,1881964,1825560,2260088,0.115,1008025,1008025,1008025,1008025,0,0,225016404,233310747,71.76,131,58,132,-16,27,-21,-43,-61,16
2020-12-25,18873203,97646,207511,194204,1425,2711,2906,1071567,1803080,1881964,0.116,1008025,1008025,1008025,1008025,0,0,218548314,233179112,71.76,126,57,143,-82,-61,-38,-67,-83,27
2020-12-26,19099491,226288,185465,97646,1884,2491,1425,981112,1668953,1071567,0.121,1944585,1008025,1944585,1008025,0,0,225279994,232941320,71.76,95,48,96,-31,-18,-21,-37,-26,9
2020-12-27,19255126,155635,190376,226288,1427,2381,1884,935201,1566673,981112,0.121,1944585,1944585,1944585,1944585,0,0,224111079,232774273,71.76,102,51,98,-27,-18,-12,-31,-18,7
2020-12-28,19429760,174634,185779,155635,2003,2340,1427,1283260,1518898,935201,0.123,2127143,1944585,2127143,1944585,0,0,232702998,232152254,71.76,106,52,102,-17,-9,-12,-40,-44,14
2020-12-29,19630012,200252,182291,174634,3631,2353,2003,1853438,1485173,1283260,0.125,2127143,2127143,2127143,2127143,0,0,233971916,230829253,71.76,107,50,103,-17,-6,-8,-39,-45,14
2020-12-30,19863696,233684,182611,200252,3731,2386,3631,2181847,1466661,1853438,0.126,2794588,2127143,2794588,2127143,0,0,234827699,229756773,71.76,101,48,95,-13,0,-11,-37,-44,14
2020-12-31,20099363,235667,183192,233684,3480,2430,3731,1919571,1455484,2181847,0.129,2794588,2794588,2794588,2794588,0,0,236043609,228396595,71.76,128,56,127,-9,19,-12,-42,-52,15
2021-01-01,20252991,153628,189115,235667,2149,2512,3480,1237190,1460857,1919571,0.131,2794588,2794588,2794588,2794588,0,0,221000208,226200613,71.76,123,56,135,-47,-37,-21,-62,-75,27
2021-01-02,20553301,300310,197113,153628,2507,2615,2149,1105262,1484517,1237190,0.138,4225756,2794588,4225756,2794588,0,0,231092434,225622983,71.76,91,44,89,-26,-13,-14,-33,-21,9
2021-01-03,20762047,208746,207687,300310,1447,2704,2507,1037001,1502253,1105262,0.143,4225756,4225756,4225756,4225756,0,0,223235335,225249844,71.76,101,50,95,-27,-16,-24,-33,-17,7
2021-01-04,20946329,184282,215274,208746,2092,2707,1447,1390769,1516796,1037001,0.141,4563260,4225756,4563260,4225756,0,0,239122709,225669205,71.76,102,49,96,-19,-8,-23,-39,-34,12
2021-01-05,21181440,235111,216653,184282,3714,2720,2092,1943970,1532154,1390769,0.143,4836469,4563260,4836469,4563260,0,0,240889791,226572763,71.76,104,48,98,-20,-6,-20,-39,-34,12
2021-01-06,21436884,255444,221633,235111,3926,2731,3714,2311965,1545087,1943970,0.142,5306797,4836469,5306797,4836469,0,0,244922216,227779772,71.76,109,49,103,-22,-11,-22,-41,-33,13
2021-01-07,21715174,278290,224741,255444,3985,2759,3926,2248557,1563675,2311965,0.143,5919418,5306797,5919418,5306797,0,0,244608992,229355087,71.76,129,55,125,-24,-10,-22,-41,-33,13
2021-01-08,22010389,295215,230830,278290,4107,2831,3985,2141875,1610673,2248557,0.143,6688231,5919418,6688231,5919418,0,0,245209838,229705358,71.76,121,53,125,-26,-14,-29,-42,-32,13
2021-01-09,22271084,260695,251057,295215,3321,3111,4107,1708216,1739914,2141875,0.134,6688231,6688231,6688231,6688231,0,0,241227805,230535706,71.76,91,43,88,-23,-9,-20,-35,-12,8
2021-01-10,22484332,213248,245398,260695,1999,3227,3321,1158844,1826050,1708216,0.133,6688231,6688231,6688231,6688231,0,0,234461370,230410600,71.76,108,49,101,-26,-13,-22,-38,-17,7
2021-01-11,22699326,214994,246041,213248,2103,3306,1999,1509017,1843457,1158844,0.134,8987322,6688231,8987322,6688231,0,0,240072946,231327701,71.76,114,49,106,-25,-12,-28,-42,-33,12
2021-01-12,22926246,226920,250428,214994,4474,3308,2103,2010401,1860349,1509017,0.132,9327138,8987322,9327138,8987322,0,0,241597874,232315969,71.76,122,48,113,-23,-10,-22,-41,-33,12
2021-01-13,23156608,230362,249258,226920,4029,3416,4474,2090451,1869839,2010401,0.133,10278462,9327138,9327139,9327138,0,0,243287255,233758043,71.76,62,31,55,-23,-12,-18,-41,-33,12
2021-01-14,23392315,235707,245675,230362,3986,3431,4029,2057129,1838194,2090451,0.13,11148991,10278462,9690757,9327139,1342086,0,243853352,234981669,71.76,105,45,107,-25,-13,-17,-41,-33,12
2021-01-15,23635046,242731,239592,235707,3892,3431,3986,2023845,1810848,2057129,0.126,12279180,11148991,10595866,9690757,1610524,1342086,246405437,238440188,71.76,107,46,110,-27,-16,-25,-41,-33,13
2021-01-16,23836726,201680,232094,242731,3404,3401,3892,1576122,1793986,2023845,0.125,12279180,12279180,10595866,10595866,1610524,1610524,240230366,239888098,71.76,89,42,82,-25,-12,-14,-36,-14,7
2021-01-17,24014508,177782,223663,201680,1897,3412,3404,1062247,1775116,1576122,0.123,12279180,12279180,10595866,10595866,1610524,1610524,242755772,241491817,71.76,98,45,93,-25,-15,-11,-38,-18,6
2021-01-18,24157924,143416,218597,177782,1535,3398,1897,1282828,1761316,1062247,0.121,12279180,12279180,10595866,10595866,1610524,1610524,250656575,241627565,71.76,100,46,99,-22,-14,-8,-44,-46,14
2021-01-19,24334630,176706,208371,143416,2732,3317,1535,1792248,1729003,1282828,0.117,15707588,12279180,13595803,10595866,2023124,1610524,241501761,241728720,71.76,101,46,101,-26,-12,-23,-42,-34,12
2021-01-20,24517866,183236,201198,176706,4408,3068,2732,2114301,1697839,1792248,0.114,16525281,15707588,14270441,13595803,2161419,2023124,243576506,241495154,71.76,104,47,104,-26,-16,-22,-43,-33,12
2021-01-21,24711684,193818,194465,183236,4204,3122,4408,2034795,1701246,2114301,0.111,17546374,16525281,15053257,14270441,2394961,2161419,248461811,241387206,71.76,120,49,123,-26,-13,-19,-42,-32,12
2021-01-22,24902437,190753,188481,193818,3845,3153,4204,1905202,1698055,2034795,0.108,19107959,17546374,16243093,15053257,2756953,2394961,250607646,241558006,71.76,115,47,123,-26,-14,-25,-41,-31,12
2021-01-23,25073050,170613,181056,190753,3345,3146,3845,1538017,1681106,1905202,0.104,20537990,19107959,17390345,16243093,3027865,2756953,246551616,241415514,71.76,86,42,86,-25,-12,-19,-38,-13,7
2021-01-24,25204112,131062,176618,170613,1899,3138,3345,997190,1675663,1538017,0.101,21848655,20537990,18502131,17390345,3216836,3027865,238517987,242600429,71.76,98,46,96,-28,-16,-28,-40,-17,7
2021-01-25,25356081,151969,169943,131062,1973,3138,1899,1226647,1666369,997190,0.1,22734243,21848655,19252279,18502131,3346390,3216836,245136476,244112376,71.76,100,45,100,-28,-16,-31,-44,-33,12
2021-01-26,25503621,147540,171165,151969,4007,3201,1973,1769035,1658343,1226647,0.1,23540994,22734243,19902237,19252279,3481921,3346390,245545367,244098645,71.76,103,45,102,-28,-17,-27,-44,-35,13
2021-01-27,25657566,153945,166999,147540,3960,3383,4007,2052521,1655027,1769035,0.098,24652634,23540994,20687970,19902237,3801053,3481921,246742612,244139967,71.76,107,46,107,-25,-15,-27,-42,-33,12
2021-01-28,25826176,168610,162814,153945,4037,3319,3960,1898019,1646201,2052521,0.097,26193682,24652634,21698606,20687970,4263056,3801053,246707464,244798318,71.76,123,51,125,-26,-14,-27,-42,-32,12
2021-01-29,25992744,166568,159213,168610,3634,3295,4037,1826116,1626662,1898019,0.094,27884661,26193682,22858318,21698606,4780888,4263056,248976110,245398634,71.76,117,49,127,-25,-15,-29,-42,-31,12
2021-01-30,26135056,142312,155758,166568,2786,3265,3634,1426675,1615364,1826116,0.093,29577902,27884661,24064165,22858318,5259693,4780888,246761824,246301670,71.76,87,42,88,-22,-8,-15,-36,-12,6
2021-01-31,26247053,111997,151715,142312,1851,3185,2786,944268,1599458,1426675,0.091,31123299,29577902,25201143,24064165,5657142,5259693,238070922,245696272,71.76,100,45,98,-27,-16,-22,-39,-18,7
2021-02-01,26382255,135202,148992,111997,2067,3178,1851,1031082,1591897,944268,0.092,32222402,31123299,26023153,25201143,5927847,5657142,239965170,244907686,71.76,105,46,103,-29,-19,-33,-49,-37,14
2021-02-02,26497588,115333,146596,135202,3429,3192,2067,1628183,1563959,1031082,0.09,32780860,32222402,26440836,26023153,6064792,5927847,243391672,245485344,71.76,102,42,101,-26,-15,-25,-45,-36,13
2021-02-03,26619229,121641,141995,115333,3906,3109,3429,1862592,1543838,1628183,0.089,33878254,32780860,27154956,26440836,6436931,6064792,248746347,245937645,68.06,104,42,101,-20,-9,-20,-40,-31,11
2021-02-04,26743204,123975,137380,121641,3736,3101,3906,1925013,1516705,1862592,0.085,35203710,33878254,27905197,27154956,6926050,6436931,249780855,245687024,68.06,128,50,125,-23,-11,-21,-40,-32,11
2021-02-05,26877601,134397,131004,123975,3688,3058,3736,1823540,1520561,1925013,0.083,36819212,35203710,28909497,27905197,7503864,6926050,253022948,245453947,68.06,120,48,125,-24,-13,-24,-39,-30,11
2021-02-06,26981588,103987,126408,134397,2641,3066,3688,1331065,1520193,1823540,0.08,39037964,36819212,30250964,28909497,8317180,7503864,249733396,245483977,68.06,93,41,91,-21,-6,-16,-34,-11,6
2021-02-07,27071236,89648,120933,103987,1436,3045,2641,828185,1506535,1331065,0.078,41210937,39037964,31579100,30250964,9147185,8317180,239743721,245420111,68.06,116,49,114,-31,-14,-30,-42,-17,6
2021-02-08,27161551,90315,117740,89648,1617,2986,1436,1037791,1489951,828185,0.074,42417617,41210937,32340146,31579100,9518015,9147185,246260368,244681353,68.06,120,49,117,-26,-15,-26,-41,-33,11
2021-02-09,27257183,95632,111328,90315,3074,2922,1617,1683462,1490910,1037791,0.071,43206190,42417617,32867213,32340146,9840429,9518015,245921700,244373682,68.06,127,48,119,-25,-12,-24,-41,-33,12
2021-02-10,27352360,95177,108514,95632,3310,2871,3074,1628637,1498807,1683462,0.071,44769970,43206190,33783384,32867213,10469514,9840429,247836443,244659930,68.06,93,36,91,-22,-10,-22,-40,-32,11
2021-02-11,27458120,105760,104733,95177,3207,2786,3310,1411865,1465385,1628637,0.072,46390270,44769970,34723964,33783384,11188782,10469514,248576053,245098986,68.06,52,25,46,-26,-12,-31,-41,-34,13
2021-02-12,27557758,99638,102131,105760,2929,2710,3207,1406031,1392078,1411865,0.072,48410558,46390270,35834855,34723964,12085830,11188782,252541650,245677105,68.06,97,40,92,-24,-10,-32,-39,-33,13
2021-02-13,27644880,87122,97165,99638,2198,2602,2929,1084872,1332434,1406031,0.071,50641884,48410558,37056122,35834855,13082172,12085830,243407804,246101616,68.06,89,40,83,-23,-4,-31,-36,-15,8
2021-02-14,27709901,65021,94756,87122,1161,2539,2198,662543,1297263,1084872,0.07,52884356,50641884,38292270,37056122,14077440,13082172,239075127,246340587,68.06,107,47,101,-24,-10,-31,-39,-20,7
2021-02-15,27764087,54186,91238,65021,958,2499,1161,795711,1273600,662543,0.069,52884357,52884356,38292271,38292270,14077441,14077440,242156839,247239901,68.06,110,48,105,-34,-21,-32,-49,-52,18
2021-02-16,27826806,62719,86077,54186,1748,2405,958,1244770,1239017,795711,0.068,55220364,52884357,39670551,38292271,15015434,14077441,244310204,247601334,68.06,115,48,111,-33,-17,-30,-45,-45,16
2021-02-17,27896924,70118,81375,62719,2405,2216,1748,1470167,1176347,1244770,0.066,56281827,55220364,40268009,39670551,15471536,15015434,247691987,247471347,68.06,112,43,119,-27,-11,-27,-42,-39,13
2021-02-18,27966848,69924,77795,70118,2519,2087,2405,1405886,1153708,1470167,0.062,57737767,56281827,41021049,40268009,16162358,15471536,247299578,247299233,68.06,82,35,84,-33,-19,-32,-46,-42,17
2021-02-19,28046145,79297,72675,69924,2631,1988,2519,1344200,1152854,1405886,0.06,59585043,57737767,41977401,41021049,17039118,16162358,251584774,247230476,68.06,107,45,108,-26,-15,-32,-42,-35,14
2021-02-20,28117670,71525,69770,79297,1818,1946,2631,1054422,1144021,1344200,0.057,61289500,59585043,42809595,41977401,17895667,17039118,247964604,246326820,68.06,86,39,80,-19,-8,-10,-31,-10,6
2021-02-21,28174750,57080,67541,71525,1247,1891,1818,681723,1139671,1054422,0.056,63090634,61289500,43628092,42809595,18865319,17895667,246889480,246231306,68.06,100,47,96,-19,-11,-12,-32,-13,5
2021-02-22,28230970,56220,66407,57080,1323,1904,1247,1028623,1142411,681723,0.054,64177474,63090634,44138118,43628092,19438495,18865319,251822229,245645088,68.06,104,49,98,-22,-13,-22,-39,-31,11
2021-02-23,28303233,72263,66698,56220,2274,1956,1323,1628978,1175684,1028623,0.053,65032083,64177474,44544969,44138118,19882544,19438495,254009721,245414874,68.06,99,45,96,-18,-8,-8,-36,-31,10
2021-02-24,28377965,74732,68061,72263,3178,2031,2274,1672232,1230571,1628978,0.053,66464947,65032083,45237143,44544969,20607261,19882544,254272398,245394238,68.06,101,45,96,-15,-8,-4,-35,-30,10
2021-02-25,28455466,77501,68720,74732,2446,2141,3178,1593431,1259438,1672232,0.052,68274117,66464947,46074392,45237143,21555117,20607261,253873775,245211884,68.06,115,47,110,-17,-9,-10,-35,-30,10
2021-02-26,28532812,77346,69803,77501,2068,2131,2446,1456442,1286230,1593431,0.052,70454064,68274117,47184199,46074392,22613359,21555117,257367436,245075188,68.06,112,46,113,-18,-11,-16,-34,-29,10
2021-02-27,28597387,64575,69524,77346,1515,2051,2068,1065904,1302264,1456442,0.052,72806180,70454064,48435536,47184199,23698627,22613359,252654978,245726159,68.06,85,40,82,-15,-6,-1,-28,-10,5
2021-02-28,28648744,51357,68531,64575,1094,2007,1515,625484,1303905,1065904,0.051,75236003,72806180,49772180,48435536,24779920,23698627,246606805,246842495,68.06,96,46,91,-16,-10,-9,-29,-13,4
2021-03-01,28706973,58229,67713,51357,1519,1985,1094,977639,1295871,625484,0.051,76899987,75236003,50732997,49772180,25466405,24779920,253129371,248223265,68.06,99,46,93,-17,-9,-18,-36,-30,9
2021-03-02,28764033,57060,68000,58229,1950,2013,1519,1592858,1288587,977639,0.05,78631601,76899987,51755447,50732997,26162122,25466405,254533579,249608910,68.06,101,46,96,-16,-7,-12,-36,-30,10
2021-03-03,28831226,67193,65829,57060,2491,1967,1950,1713294,1283427,1592858,0.048,80540474,78631601,52855579,51755447,26957804,26162122,253928683,250548969,68.06,104,47,98,-12,-4,-1,-34,-30,9
2021-03-04,28899277,68051,64752,67193,1938,1869,2491,1530461,1289293,1713294,0.048,82572848,80540474,54035670,52855579,27795980,26957804,255531800,251488140,64.35,121,50,116,-15,-6,-4,-34,-30,9
